VIN,County,City,States,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,CAFV_Eligibility,Electric_Range,Base_MSRP,Electric_Utility
5YJ3E1EB0M,Yakima,Yakima,WA,98908,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PACIFICORP
1N4BZ1CP3K,Kitsap,Bainbridge Island,WA,98110,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,PUGET SOUND ENERGY INC
KL8CK6S00G,Yakima,Yakima,WA,98903,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,PACIFICORP
1N4AZ0CP4E,King,Redmond,WA,98052,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJSA1E29J,Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,PUGET SOUND ENERGY INC
KNDCC3LGXK,King,Kirkland,WA,98033,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EBXJ,Thurston,Rainier,WA,98576,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,PUGET SOUND ENERGY INC
3C3CFFGE4F,Snohomish,Lake Stevens,WA,98258,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,PUGET SOUND ENERGY INC
5YJXCBE25H,King,Bellevue,WA,98004,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
SADHD2S10L,King,Bellevue,WA,98004,2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EB9K,King,Seattle,WA,98177,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJYGAEE8M,Snohomish,Snohomish,WA,98296,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
5YJSA1V24F,Yakima,Selah,WA,98942,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,PACIFICORP
WMEFJ9BA5K,King,Kirkland,WA,98033,2019,SMART,EQ FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
YV4BC0PL4G,Kitsap,Bainbridge Island,WA,98110,2016,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,PUGET SOUND ENERGY INC
5YJ3E1EB6L,King,Redmond,WA,98052,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4AZ0CP2D,King,Bellevue,WA,98004,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WBA7W4C07L,Snohomish,Lynnwood,WA,98087,2020,BMW,745E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,PUGET SOUND ENERGY INC
1C4JJXR69P,Island,Coupeville,WA,98239,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,PUGET SOUND ENERGY INC
1N4AZ0CP6G,King,Seattle,WA,98125,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
YV4H60DE9P,King,Burien,WA,98168,2023,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
JTJKKCFZ4R,King,Renton,WA,98056,2024,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WBY8P4C50K,King,Seattle,WA,98177,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
KNDJX3AE4G,Kitsap,Bremerton,WA,98312,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,PUGET SOUND ENERGY INC
WA1E2AFY5N,King,Issaquah,WA,98027,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KM8JFDA28P,Yakima,Yakima,WA,98901,2023,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,PACIFICORP
5UXTA6C07M,King,Seattle,WA,98116,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJYGDEE3M,Snohomish,Everett,WA,98208,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
KM8KRDDF0R,Kitsap,Bremerton,WA,98312,2024,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
5YJSA1E23H,Snohomish,Mukilteo,WA,98275,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,PUGET SOUND ENERGY INC
5YJ3E1EA6L,King,Bellevue,WA,98004,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JN1AZ0CP7B,Kitsap,Kingston,WA,98346,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,PUGET SOUND ENERGY INC
7SAXCBE61P,Kitsap,Silverdale,WA,98383,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
5YJSA1H19E,Thurston,Olympia,WA,98501,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC
WBY1Z6C36H,King,Seattle,WA,98109,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJXCBE20J,King,Kirkland,WA,98033,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
YV4H60CE5R,King,Kirkland,WA,98033,2024,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7SAXCBE65N,Thurston,Yelm,WA,98597,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
1N4BZ0CP9G,Kitsap,Port Orchard,WA,98366,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,PUGET SOUND ENERGY INC
5YJSA1E21H,King,Seattle,WA,98101,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1N4AZ0CP1G,King,Kirkland,WA,98034,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJXCBE40H,King,Bothell,WA,98011,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4AZ0CP6F,King,Bellevue,WA,98007,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JTJAAAAB7P,Thurston,Olympia,WA,98506,2023,LEXUS,RZ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
5UXTS1C01M,Thurston,Rochester,WA,98579,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,PUGET SOUND ENERGY INC
2C4RC1N7XJ,Kitsap,Port Orchard,WA,98367,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,PUGET SOUND ENERGY INC
3FA6P0SU5F,King,Kirkland,WA,98034,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4AZ0CP5F,King,Kirkland,WA,98034,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7SAYGDEE7P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
KNDRMDLH1N,Snohomish,Lake Stevens,WA,98258,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,PUGET SOUND ENERGY INC
LVYBR0AL6K,King,Kent,WA,98042,2019,VOLVO,S90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJXCBE29K,King,Kent,WA,98042,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EB3K,Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,PUGET SOUND ENERGY INC
WBAJB1C01L,King,Seattle,WA,98112,2020,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1G1FW6S05J,Thurston,Rainier,WA,98576,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,PUGET SOUND ENERGY INC
KNDCE3LG6K,Snohomish,Bothell,WA,98012,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,PUGET SOUND ENERGY INC
5YJ3E1EAXJ,King,Seattle,WA,98107,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
KNDCC3LD3N,Snohomish,Lynnwood,WA,98087,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,PUGET SOUND ENERGY INC
1C4JJXP60P,King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EC3L,Thurston,Yelm,WA,98597,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,PUGET SOUND ENERGY INC
1N4BZ1DV2M,King,Seattle,WA,98177,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJYGDEE0L,King,Issaquah,WA,98029,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JN1AZ0CP4B,Kitsap,Bainbridge Island,WA,98110,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,PUGET SOUND ENERGY INC
5YJ3E1EB7J,King,Des Moines,WA,98198,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4AZ0CP8E,Thurston,Olympia,WA,98506,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,PUGET SOUND ENERGY INC
KNDCC3LGXN,Snohomish,Lynnwood,WA,98036,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
KM8K23AG9L,King,Tukwila,WA,98168,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJXCDE26G,Snohomish,Snohomish,WA,98290,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,PUGET SOUND ENERGY INC
5UX43EU07R,Snohomish,Mukilteo,WA,98275,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,PUGET SOUND ENERGY INC
WBA8E1C59J,Kitsap,Poulsbo,WA,98370,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,45600,PUGET SOUND ENERGY INC
5YJ3E1EB2K,King,Seattle,WA,98104,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
JA4T5WA92R,Kitsap,Bremerton,WA,98310,2024,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,PUGET SOUND ENERGY INC
KNAGV4LD8H,Snohomish,Mill Creek,WA,98012,2017,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,PUGET SOUND ENERGY INC
5YJ3E1EA9J,King,Auburn,WA,98092,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WMEEJ9AA0D,Snohomish,Everett,WA,98208,2013,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,68,0,PUGET SOUND ENERGY INC
3FA6P0SU8H,Thurston,Yelm,WA,98597,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,PUGET SOUND ENERGY INC
YV4BR0CM4L,Snohomish,Snohomish,WA,98290,2020,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,PUGET SOUND ENERGY INC
KNDC3DLC9P,Thurston,Olympia,WA,98501,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
5YJ3E1EA0K,Island,Oak Harbor,WA,98277,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,PUGET SOUND ENERGY INC
5YJ3E1EA1L,King,Bellevue,WA,98008,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WBY2Z2C36H,Chelan,Wenatchee,WA,98801,2017,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,PUD NO 1 OF CHELAN COUNTY
1N4AZ1CP8J,Snohomish,Lynnwood,WA,98087,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,PUGET SOUND ENERGY INC
1C4RJXN63R,Kitsap,Bremerton,WA,98312,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,PUGET SOUND ENERGY INC
1C4JJXN63P,King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJSA1H46F,King,Seattle,WA,98112,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJ3E1EA9L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,PUGET SOUND ENERGY INC
3FA6P0PU6E,Yakima,Union Gap,WA,98903,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,PACIFICORP
WA1VABGE6K,King,Issaquah,WA,98029,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EA5L,King,Renton,WA,98059,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EA2L,King,Seattle,WA,98125,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJ3E1EA4J,Kitsap,Port Orchard,WA,98367,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,PUGET SOUND ENERGY INC
5UXTS1C07L,King,Redmond,WA,98052,2020,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1C4RJXN66R,Yakima,Yakima,WA,98902,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,PACIFICORP
5YJSA1E21G,Snohomish,Bothell,WA,98021,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,PUGET SOUND ENERGY INC
WBY1Z2C52F,King,Sammamish,WA,98075,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4BZ0CP7H,Kitsap,Poulsbo,WA,98370,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,PUGET SOUND ENERGY INC
1G1FX6S05H,King,Auburn,WA,98002,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJXCAE2XG,Kitsap,Bremerton,WA,98310,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,PUGET SOUND ENERGY INC
5YJSA1CN8D,Kitsap,Silverdale,WA,98383,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC
5YJSA1H25E,King,Renton,WA,98055,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KNDJX3AE2F,King,Seattle,WA,98133,2015,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
JTDKARFP7J,Thurston,Olympia,WA,98506,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,PUGET SOUND ENERGY INC
5YJ3E1EA3L,King,Seattle,WA,98106,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
7PDSGABA3P,Snohomish,Bothell,WA,98012,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
1N4AZ0CP0F,King,Seattle,WA,98133,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1FADP5FU6H,Kitsap,Bainbridge Island,WA,98110,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,PUGET SOUND ENERGY INC
5YJ3E1EA7J,Kitsap,Bainbridge Island,WA,98110,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,PUGET SOUND ENERGY INC
5YJSA1E29H,King,Lake Forest Park,WA,98155,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1C4JJXP6XM,King,Seattle,WA,98112,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1FT6W1EV9N,Yakima,Yakima,WA,98903,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PACIFICORP
WBY7Z4C50J,Kitsap,Port Orchard,WA,98367,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,PUGET SOUND ENERGY INC
5YJXCBE24H,King,Kirkland,WA,98034,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7SAYGDEE4P,Snohomish,Snohomish,WA,98296,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
1C4JJXR68M,Yakima,Yakima,WA,98903,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,PACIFICORP
WVWKP7AU3G,King,Seattle,WA,98125,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJXCDE25H,Snohomish,Monroe,WA,98272,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,PUGET SOUND ENERGY INC
5YJ3E1EB2L,Skagit,Mount Vernon,WA,98273,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,PUGET SOUND ENERGY INC
5YJYGDEE6L,Thurston,Olympia,WA,98501,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,PUGET SOUND ENERGY INC
5YJ3E1EB1J,Yakima,Yakima,WA,98908,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,PACIFICORP
1G1FZ6S08L,Thurston,Olympia,WA,98502,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,PUGET SOUND ENERGY INC
JN1AZ0CP9B,Thurston,Olympia,WA,98502,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,PUGET SOUND ENERGY INC
5YJSA1H11E,Kitsap,Kingston,WA,98346,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC
